ts_code,trade_time,open,close,high,low,vol,amount,trade_date,pre_close
002594.SZ,2023-06-12 09:53:00,259.95,259.8,260.17,259.8,46600.0,12118406.0,20230612,260.0
002594.SZ,2023-06-12 09:52:00,259.54,260.0,260.0,259.24,66500.0,17261772.0,20230612,259.54
002594.SZ,2023-06-12 09:51:00,259.1,259.54,259.8,259.0,87700.0,22748743.0,20230612,259.1
002594.SZ,2023-06-12 09:50:00,259.5,259.1,259.52,258.98,132100.0,34246386.0,20230612,259.59
002594.SZ,2023-06-12 09:49:00,260.3,259.59,260.3,259.59,103865.0,27018494.55,20230612,260.29
002594.SZ,2023-06-12 09:48:00,260.93,260.29,260.93,260.29,81900.0,21348828.1,20230612,260.93
002594.SZ,2023-06-12 09:47:00,260.8,260.93,261.0,260.66,124709.0,32521430.95,20230612,260.94
002594.SZ,2023-06-12 09:46:00,261.61,260.94,261.61,260.94,103200.0,26981719.0,20230612,261.66
002594.SZ,2023-06-12 09:45:00,262.0,261.66,262.16,261.66,185209.0,48517247.01,20230612,262.06
002594.SZ,2023-06-12 09:44:00,262.62,262.06,262.74,262.06,228800.0,60046418.0,20230612,262.6
002594.SZ,2023-06-12 09:43:00,261.79,262.6,262.68,261.79,407169.0,106781548.1,20230612,261.86
002594.SZ,2023-06-12 09:42:00,260.89,261.86,261.99,260.71,314400.0,82150505.0,20230612,260.93
002594.SZ,2023-06-12 09:41:00,259.99,260.93,260.93,259.97,195700.0,50969909.0,20230612,259.99
002594.SZ,2023-06-12 09:40:00,260.1,259.99,260.1,259.63,130200.0,33847157.0,20230612,260.16
002594.SZ,2023-06-12 09:39:00,259.29,260.16,260.16,259.29,242595.0,63049537.05,20230612,259.51
002594.SZ,2023-06-12 09:38:00,259.76,259.51,259.76,259.0,129000.0,33438131.0,20230612,259.9
002594.SZ,2023-06-12 09:37:00,259.81,259.9,259.99,259.8,99400.0,25831133.0,20230612,259.84
002594.SZ,2023-06-12 09:36:00,259.13,259.84,259.86,259.13,155282.0,40275639.5,20230612,259.14
002594.SZ,2023-06-12 09:35:00,259.0,259.14,259.25,258.81,121900.0,31580661.62,20230612,259.0
002594.SZ,2023-06-12 09:34:00,258.52,259.0,259.39,258.52,154400.0,39982861.0,20230612,258.29
002594.SZ,2023-06-12 09:33:00,257.58,258.29,258.7,257.58,124400.0,32108936.0,20230612,257.26
002594.SZ,2023-06-12 09:32:00,256.82,257.26,257.8,256.46,99900.0,25701756.0,20230612,256.46
002594.SZ,2023-06-12 09:31:00,256.0,256.46,256.97,255.5,223300.0,57178959.93,20230612,256.0
002594.SZ,2023-06-12 09:30:00,256.5,256.0,256.5,255.9,46600.0,11947710.0,20230612,258.0
002594.SZ,2023-06-09 15:00:00,258.0,258.0,258.0,258.0,313300.0,80831400.0,20230609,257.43
002594.SZ,2023-06-09 14:59:00,257.43,257.43,257.43,257.43,0.0,0.0,20230609,257.43
002594.SZ,2023-06-09 14:58:00,257.43,257.43,257.43,257.43,0.0,0.0,20230609,257.43
002594.SZ,2023-06-09 14:57:00,257.35,257.43,257.45,257.31,53847.0,13859008.39,20230609,257.35
002594.SZ,2023-06-09 14:56:00,257.28,257.35,257.35,257.26,54800.0,14100052.0,20230609,257.26
002594.SZ,2023-06-09 14:55:00,257.26,257.26,257.3,257.26,44100.0,11346174.0,20230609,257.29
002594.SZ,2023-06-09 14:54:00,257.39,257.29,257.39,257.18,33200.0,8542093.0,20230609,257.34
002594.SZ,2023-06-09 14:53:00,257.28,257.34,257.34,257.21,49000.0,12607945.0,20230609,257.14
002594.SZ,2023-06-09 14:52:00,257.14,257.14,257.27,257.13,44500.0,11444063.0,20230609,257.13
002594.SZ,2023-06-09 14:51:00,257.28,257.13,257.28,257.13,29700.0,7639288.3,20230609,257.26
002594.SZ,2023-06-09 14:50:00,257.32,257.26,257.34,257.26,26100.0,6715833.0,20230609,257.33
002594.SZ,2023-06-09 14:49:00,257.39,257.33,257.4,257.33,20500.0,5276391.0,20230609,257.39
002594.SZ,2023-06-09 14:48:00,257.4,257.39,257.45,257.39,37600.0,9678455.24,20230609,257.39
002594.SZ,2023-06-09 14:47:00,257.45,257.39,257.45,257.39,22300.0,5740375.0,20230609,257.39
002594.SZ,2023-06-09 14:46:00,257.5,257.39,257.5,257.2,42100.0,10836823.0,20230609,257.49
002594.SZ,2023-06-09 14:45:00,257.45,257.49,257.5,257.4,33600.0,8650467.0,20230609,257.46
002594.SZ,2023-06-09 14:44:00,257.42,257.46,257.48,257.4,21200.0,5457751.0,20230609,257.43
002594.SZ,2023-06-09 14:43:00,257.46,257.43,257.46,257.37,18700.0,4813396.0,20230609,257.41
002594.SZ,2023-06-09 14:42:00,257.58,257.41,257.58,257.33,19600.0,5047244.76,20230609,257.4
002594.SZ,2023-06-09 14:41:00,257.5,257.4,257.62,257.4,48100.0,12387926.7,20230609,257.5
002594.SZ,2023-06-09 14:40:00,257.47,257.5,257.5,257.46,23400.0,6025206.0,20230609,257.48
002594.SZ,2023-06-09 14:39:00,257.47,257.48,257.5,257.42,24100.0,6205260.0,20230609,257.4
002594.SZ,2023-06-09 14:38:00,257.41,257.4,257.5,257.4,22602.0,5818244.8,20230609,257.41
002594.SZ,2023-06-09 14:37:00,257.48,257.41,257.53,257.28,38100.0,9808272.98,20230609,257.48
002594.SZ,2023-06-09 14:36:00,257.38,257.48,257.55,257.38,24700.0,6356082.0,20230609,257.44
002594.SZ,2023-06-09 14:35:00,257.41,257.44,257.57,257.41,14600.0,3759385.0,20230609,257.5
002594.SZ,2023-06-09 14:34:00,257.32,257.5,257.6,257.28,24400.0,6281330.0,20230609,257.24
002594.SZ,2023-06-09 14:33:00,257.6,257.24,257.6,257.24,41500.0,10682688.0,20230609,257.61
002594.SZ,2023-06-09 14:32:00,257.67,257.61,257.67,257.6,21300.0,5487779.0,20230609,257.65
002594.SZ,2023-06-09 14:31:00,257.78,257.65,257.79,257.59,29200.0,7525763.0,20230609,257.77
002594.SZ,2023-06-09 14:30:00,257.48,257.77,257.77,257.31,88500.0,22792579.0,20230609,257.49
002594.SZ,2023-06-09 14:29:00,257.34,257.49,257.49,257.22,28100.0,7231318.0,20230609,257.33
002594.SZ,2023-06-09 14:28:00,257.19,257.33,257.36,257.16,27100.0,6970662.0,20230609,257.2
002594.SZ,2023-06-09 14:27:00,257.03,257.2,257.29,257.02,21100.0,5425416.0,20230609,257.0
002594.SZ,2023-06-09 14:26:00,257.0,257.0,257.05,257.0,20500.0,5268939.0,20230609,257.01
002594.SZ,2023-06-09 14:25:00,256.84,257.01,257.01,256.8,31800.0,8171585.0,20230609,256.84
002594.SZ,2023-06-09 14:24:00,257.01,256.84,257.01,256.72,34000.0,8736758.0,20230609,257.01
